naslov,postavka_neto,lokacija,opis,prosta_mesta,trajanje,delovnik,sifra,narava_dela
LAŽJA FIZIČNA DELA (OSKRBA PERUTNINE),"6,00",DOB,"Oskrba živali, pobiranje jajc, kidanje, čiščenje in priprava hleva. Delo na perutninskem obratu.",2, DLJE ČASA (OBČASNO) ALI PO DOGOVORU, dopoldan,308701, začasno in občasno delo

INFORMATIKA,"4,65",LJUBLJANA,"Iščejo študenta/ko, ki ima izkušnje z delom v IT-ju (priklop računalniške opreme, instalacije programov, certifikatov, osnovna znanja o strežnikih, mrežni opremi, delo na Helpdesku), dobro pozna MS Office, ima vozniški izpit B. Prednost bodo imeli kandidati/ke, ki odlično govorijo in pišejo angleško in/ali nemško ter študirajo na tehnični smeri (informatika, strojništvo, elektrotehnika). Prijavo pošljite na e-naslov.",1, DLJE ČASA (OBČASNO), Dopoldan,308703, začasno in občasno delo

DELO NA RAČUNALNIKU (OPERATER),"4,50",LJUBLJANA,"Projekcija filmov v kinematografih. Dela se je možno priučiti. Pogoj je polnoletnost in znanje dela na računalniku. Delo poteka v popoldansko/večernem času in med vikendi. Urna postavka med tednom je 5,33 Ă˘Â‚Â¬ bruto in med vikendi 6,51 Ă˘Â‚Â¬ bruto. Prijava na e-mail.",3, DLJE ČASA (OBČASNO), Popoldan,308702, začasno in občasno delo

PRODAJA,"4,13",CELJE,"Drogerija v trgovskem centru išče polnoletno osebo za pomoč pri prodaji, delo na blagajni, polnjenje polic in svetovanje strankam. Zaželene so izkušnje. Delovnik je po dogovoru",1, DLJE ČASA (OBČASNO), Po dogovoru,308700, začasno in občasno delo

KNJIGOVODSKA DELA,"4,13",LJUBLJANA,"Podjetje išče študenta - smer računovodstvo. Izkušnje niso pogoj, so pa zaželene. Možnost redne zaposlitve po zaključku študija.",1, DLJE ČASA (OBČASNO), Dopoldan,308699, začasno in občasno delo

PROMOCIJA,"7,00",LJUBLJANA,"Iščejo študente/tke za promocijo (starost nad 19 let). Sproščeno delo v ekipi. Delo poteka na različnih lokacijah. Zaželeno je, da imaš čas dvakrat tedensko. Imajo plačan dopust tudi za študente. Če želiš postati del najboljše ekipe in bi rad ob delu spreminjal svet na bolje, se prijavi.",3, DLJE ČASA (OBČASNO), Popoldan,308698, začasno in občasno delo

INŠTRUKCIJE,"7,10",DOMŽALE,"Podjetje potrebuje študenta/študentko za inštruiranje angleškega, nemškega ali slovenskega jezika za osnovnošolce, gimnazijce in srednješolce ter priprava na maturo. Zaželen/a  študent/ka iz okolice Domžal (lasten prevoz). Izkušnje z inštruiranjem.",1, DLJE ČASA (OBČASNO), Po dogovoru,308697, začasno in občasno delo

DELO V AVTOPRALNICI,"4,56",LJUBLJANA BTC,Predpranje vozil v avtomatski avtopralnici. Pogoja sta zanesljivost in resnost. Pokliči ali pošlji prijavo na e-naslov.,1, DLJE ČASA (OBČASNO), Izmensko,308696, začasno in občasno delo

DELO V VELNESU,"4,50",LJUBLJANA,"Za delo v največjem vodnem parku iščejo študente za delo s strankami, v velnes centru ob vikendih. Delo obsega skrb za delovanje savn in komunikacijo s strankami. Pogoj je komunikativnost in veselje do dela z ljudmi.",1, DLJE ČASA (OBČASNO), Med vikendom,308695, začasno in občasno delo

ELEKTROTEHNIČNA DELA (DELO NA TERENU),"6,34",PTUJ IN OKOLICA,"Podjetje potrebuje polnoletno, resno in odgovorno osebo za pomoč pri elektro delih. Pogoji so študij elektro smeri, vozniški izpit B kategorije in lasten prevoz. Dela se občasno, po potrebi. Za prijavo pokličite na kontakt podjetja ali prijavo pošljite na objavljeni e-mail naslov.",1, DLJE ČASA (OBČASNO), Po dogovoru,308694, začasno in občasno delo

PRODAJA,"5,00",LJUBLJANA BTC,Prodaja tekstilnih izdelkov priznane blagovne znamke. Zaželene so izkušnje s prodajo. Delo poteka tudi ob vikendih.,2, DLJE ČASA (OBČASNO), Izmensko,308552, začasno in občasno delo

DELO V PROIZVODNJI,"5,07",LOGATEC,"Delo v proizvodnji, sestavljanje kovinskih izdelkov. Prijave in izkušnje sprejemajo na e-mail.",1, DLJE ČASA (OBČASNO), Dopoldan,308551, začasno in občasno delo

TELEFONSKI MARKETING,"6,00",LJUBLJANA,"Odgovorni boste za promocijo in predstavitev storitev prevozov na letališča in organiziranje sestankov pri potencialnih strankah. Verjamejo, da lahko delo odlično opravi komunikativna, prodorna in zagnana oseba z visoko stopnjo motivacije. Vsa ostala potrebna znanja zagotovijo sami. Pri prijavi bodo imeli prednost kandidati s preteklimi izkušnjami v prodaji/marketingu in (klicnih) centrih za podporo uporabnikom. Možnost kasnejše zaposlitve. Prijave sprejemajo po e-pošti s pripisom GO201910ST.",1, CCA. 1 MESEC OZ. PO DOGOVORU, Dopoldan,308550, začasno in občasno delo

POMOČ V STREŽBI,"6,00",MENGEŠ,"Lokal na bencinski črpalki potrebuje osebo za pomoč pri strežbi v prijetnem lokalu in simpatičnemu kolektivu. Delo je mogoče v treh izmenah; od 5. do 11., 11. do 17. ali 17. do 23. ure, po potrebi in dogovoru.",1, DLJE ČASA (OBČASNO), Po dogovoru,308549, začasno in občasno delo

DELO NA BENCINSKEM SERVISU,"5,00",LITIJA,Iščejo več kandidatov za delo na bencinskem servisu. Delo vključuje strežbo v baru (tam vsak novi z delom začne) in v trgovini. Zaželene so izkušnje in kraj bivanja v okolici. Odpto imajo vse dni v tednu.,3, DLJE ČASA (OBČASNO), Izmensko,308548, začasno in občasno delo

POUČEVANJE,"9,75",MARIBOR,"Iščemo študenta/-ko za poučevanje italijanskega jezika v bližini Maribora. Pričakujejo točnost, odgovornost in kreativnost. Zaželene so izkušnje s poučevanjem skupinskih tečajev.",1, DLJE ČASA - PROJEKTNO, Po dogovoru,308547, začasno in občasno delo

PROGRAMIRANJE,"5,00",LJUBLJANA DOLGI MOST,"Podjetje išče študenta/ko za pomoč pri razvoju programske opreme in rešitev na področju strojnega vida. Delo vključuje tudi zajem in pripravo podatkov ter orodij za področje globokega učenja. Prednost imajo kandidati višjih letnikov FRI, FMF, FE.",1, PO DOGOVORU, Dopoldan,308545, začasno in občasno delo

POMOČ PRI PRODAJI,"4,13",KRANJ QLANDIJA,"Iščejo zanesljive, odgovorne osebe za delo v trgovini s čevlji. Plačilo: 4,89 Ă˘Â‚Â¬/h bruto, 5,8 Ă˘Â‚Â¬/h bruto za nedeljsko delo.",1, DLJE ČASA (OBČASNO), Izmensko,308544, začasno in občasno delo

ADMINISTRATIVNA DELA,"5,00",NOVO MESTO,"Opravljanje blagajniških nalog za potrebe skladišča, arhiviranje dokumentacije, priprava obračunov poslovanja blagajne, administrativna in druga opravila za skladišče, po nalogu nadrejenega iste vrste del in nalog v okviru usposobljenosti.",1, 2 MESECA, Dopoldan,308543, začasno in občasno delo

ADMINISTRATIVNA DELA (ANALITSKA DELA),"5,20",LJUBLJANA,"K sodelovanju vabijo absolventa (-ko) ekonomske ali druge ustrezne smeri za tajniška in analitska dela: sodelovanje pri oblikovanju poročil, lažja analitična dela.,...Zaželeno poznavanje dela z Wordom in Excelom ter dobre komunikacijske sposobnosti. Prijavo s CV pošljite na e-naslov.",1, DLJE ČASA (OBČASNO), Dopoldan,308542, začasno in občasno delo

ADMINISTRATIVNA DELA (MARKETING),"4,13",KOPER,"Podjetje išče osebo za administrativna dela in marketing. Pogoji: starost nad 18 let, znanje angleškega in italijanskega jezika. Možnost kasnejše zaposlitve.",1, DLJE ČASA (OBČASNO), Po dogovoru,308379, začasno in občasno delo

POMOČ V STREŽBI,"4,50",KOPER,"Podjetje išče osebo za pomoč v strežbi. Pogoj je starost nad 18 let. Zaželene izkušnje. Plačilo od 5,33 - 5,92 Ă˘Â‚Â¬/h bruto.",1, DLJE ČASA (OBČASNO), Dopoldan,308378, začasno in občasno delo

POMOČ V STREŽBI,"5,49",DOMŽALE,"Lokal, ki se naha v športnem centru išče osebo za delo v strežbi in pomoč na recepciji. Pogoj je starost nad 19 let.",1, PO DOGOVORU, Med vikendom,308376, začasno in občasno delo

DELO V PROIZVODNJI,"4,65",RIBNICA,"Sestavljanje, brušenje, skladanje, pakiranje lesenih izdelkov.",1, DLJE ČASA (OBČASNO), Dopoldan,308371, začasno in občasno delo

FIZIČNA DELA,"5,20",LJUBLJANA ČRNUČE,"Uspešno podjetje išče polnoletno osebo za delo v logistiki. Delo zajema fizična dela (priprava artiklov, ročno razkladanje kamionov in ostalo).",2, CCA. 2 TEDNA, Dopoldan,308370, začasno in občasno delo

STREŽBA,"5,92",BRASLOVČE,Na čudoviti lokaciji ob jezeru iščejo študenta/ko za delo v strežbi. Pogoji: starost nad 18 let. Ob plačilu nudijo tudi toplo malico.,1, DLJE ČASA (OBČASNO), Izmensko,308367, začasno in občasno delo

PROGRAMIRANJE,"6,50",LJUBLJANA,"Zagonsko podjetje z mlado ekipo išče okrepitve. Potrebujejo fullstack programerja, ki ima razumevanje Laravela, Vue.js, MySQL in front-end (Html, Css, Sass in Boostrap). Bonus točke: humor in sproščenost. Ni potrebno, da znate vse zgoraj naštete tehnologije. Predvsem je pomembna volja do učenja, posledično se poviša tudi urna postavka. Na email pošljite reference / CV.",1, DLJE ČASA (OBČASNO), Po dogovoru,308363, začasno in občasno delo

POMOČ V KUHINJI,"6,00",BLED,"Aranžiranje krožnikov, pomoč kuharju, priprava omak, skrb za red in čistočo.",1, DLJE ČASA (OBČASNO), Po dogovoru,308362, začasno in občasno delo

